PackageName,Status,InputPath,OutputPath,OutputBytes,ElapsedMilliseconds
abitype--abitype-1.2.4,repacked,../data/unpacked_2500/abitype--abitype-1.2.4,../data/repacked_xz_2500/abitype--abitype-1.2.4.tar.xz,107972,272.8605830052402
abort-controller--abort-controller-3.0.0,repacked,../data/unpacked_2500/abort-controller--abort-controller-3.0.0,../data/repacked_xz_2500/abort-controller--abort-controller-3.0.0.tar.xz,15524,24.768292001681402
accepts--accepts-1.3.8,repacked,../data/unpacked_2500/accepts--accepts-1.3.8,../data/repacked_xz_2500/accepts--accepts-1.3.8.tar.xz,5220,11.035125004127622
acertea--acertea-1.1.6,repacked,../data/unpacked_2500/acertea--acertea-1.1.6,../data/repacked_xz_2500/acertea--acertea-1.1.6.tar.xz,66076,62.36125000577886
acorn--acorn-8.16.0,repacked,../data/unpacked_2500/acorn--acorn-8.16.0,../data/repacked_xz_2500/acorn--acorn-8.16.0.tar.xz,77540,121.96000000403728
acorn-globals--acorn-globals-7.0.1,repacked,../data/unpacked_2500/acorn-globals--acorn-globals-7.0.1,../data/repacked_xz_2500/acorn-globals--acorn-globals-7.0.1.tar.xz,3344,10.02899999730289
acorn-import-phases--acorn-import-phases-1.0.4,repacked,../data/unpacked_2500/acorn-import-phases--acorn-import-phases-1.0.4,../data/repacked_xz_2500/acorn-import-phases--acorn-import-phases-1.0.4.tar.xz,2992,10.655791993485764
acorn-jsx--acorn-jsx-5.3.2,repacked,../data/unpacked_2500/acorn-jsx--acorn-jsx-5.3.2,../data/repacked_xz_2500/acorn-jsx--acorn-jsx-5.3.2.tar.xz,7140,13.619916993775405
acorn-walk--acorn-walk-8.3.5,repacked,../data/unpacked_2500/acorn-walk--acorn-walk-8.3.5,../data/repacked_xz_2500/acorn-walk--acorn-walk-8.3.5.tar.xz,9196,18.466291992808692
address--address-2.0.3,repacked,../data/unpacked_2500/address--address-2.0.3,../data/repacked_xz_2500/address--address-2.0.3.tar.xz,11528,25.614833008148707
adjust-sourcemap-loader--adjust-sourcemap-loader-5.0.0,repacked,../data/unpacked_2500/adjust-sourcemap-loader--adjust-sourcemap-loader-5.0.0,../data/repacked_xz_2500/adjust-sourcemap-loader--adjust-sourcemap-loader-5.0.0.tar.xz,11668,23.899459003587253
aes-js--aes-js-3.1.2,repacked,../data/unpacked_2500/aes-js--aes-js-3.1.2,../data/repacked_xz_2500/aes-js--aes-js-3.1.2.tar.xz,16784,23.906292000901885
agent-base--agent-base-9.0.0,repacked,../data/unpacked_2500/agent-base--agent-base-9.0.0,../data/repacked_xz_2500/agent-base--agent-base-9.0.0.tar.xz,6836,14.814459005719982
agentkeepalive--agentkeepalive-4.6.0,repacked,../data/unpacked_2500/agentkeepalive--agentkeepalive-4.6.0,../data/repacked_xz_2500/agentkeepalive--agentkeepalive-4.6.0.tar.xz,9504,16.941833004239015
aggregate-error--aggregate-error-5.0.0,repacked,../data/unpacked_2500/aggregate-error--aggregate-error-5.0.0,../data/repacked_xz_2500/aggregate-error--aggregate-error-5.0.0.tar.xz,2716,9.284792002290487
ajv--ajv-8.20.0,repacked,../data/unpacked_2500/ajv--ajv-8.20.0,../data/repacked_xz_2500/ajv--ajv-8.20.0.tar.xz,158884,389.71158298954833
ajv-errors--ajv-errors-3.0.0,repacked,../data/unpacked_2500/ajv-errors--ajv-errors-3.0.0,../data/repacked_xz_2500/ajv-errors--ajv-errors-3.0.0.tar.xz,11488,21.313709003152326
ajv-formats--ajv-formats-3.0.1,repacked,../data/unpacked_2500/ajv-formats--ajv-formats-3.0.1,../data/repacked_xz_2500/ajv-formats--ajv-formats-3.0.1.tar.xz,12856,22.668958001304418
ajv-keywords--ajv-keywords-5.1.0,repacked,../data/unpacked_2500/ajv-keywords--ajv-keywords-5.1.0,../data/repacked_xz_2500/ajv-keywords--ajv-keywords-5.1.0.tar.xz,26708,73.44449999800418
align-text--align-text-1.0.2,repacked,../data/unpacked_2500/align-text--align-text-1.0.2,../data/repacked_xz_2500/align-text--align-text-1.0.2.tar.xz,3904,13.205833995016292
alphanum-sort--alphanum-sort-1.0.2,repacked,../data/unpacked_2500/alphanum-sort--alphanum-sort-1.0.2,../data/repacked_xz_2500/alphanum-sort--alphanum-sort-1.0.2.tar.xz,2748,9.55341599183157
amdefine--amdefine-1.0.1,repacked,../data/unpacked_2500/amdefine--amdefine-1.0.1,../data/repacked_xz_2500/amdefine--amdefine-1.0.1.tar.xz,7268,14.24925000173971
anakjalanan--anakjalanan-1.1.4,repacked,../data/unpacked_2500/anakjalanan--anakjalanan-1.1.4,../data/repacked_xz_2500/anakjalanan--anakjalanan-1.1.4.tar.xz,13980,20.240875004674308
